id,phase,task,owner,start,due,effort_h,depends_on,blocking,muc_do,status
POS-5,POS,Xac minh arXiv 2606.07316 (BFT certificate) va 2609.14003 (FLOWSEAL),,2026-09-22,2026-09-24,3,,no,Ca hai duoc doc va tra loi (hoac loai bo khoi BibTeX),todo
POS-4,POS,Doc RobustJudge (arXiv 2506.09443) va chon 2-3 attack lam tan cong ngoai,,2026-09-22,2026-09-24,3,POS-1,no,Danh sach attack ngoai duoc chot,todo
POS-3,POS,Tim ban day du cua Many Minds One Verdict (chua co venue),,2026-09-22,2026-09-24,2,,no,Quyet dinh trich dan bai hay artifact,todo
POS-7,POS,Cap nhat references_verified.bib voi 6-8 muc moi,,2026-09-23,2026-09-25,3,POS-1;POS-4;POS-5,T4.7,Moi muc da doc truoc khi dua vao (khong co citation bia),todo
POS-8,POS,Cap nhat citation_claim_map.csv voi cau phan biet tien cong trinh,,2026-09-23,2026-09-25,2,POS-7,T4.6,Moi tuyen bo novelty tro toi 1 cau phan biet,todo
POS-9,POS,Chot lai tieu de va dong gop (khong dan bang robust aggregation),,2026-09-24,2026-09-26,2,POS-8,T4.6,Tieu de neu CA HAI kenh tan cong,todo
T1.1,P1,Tai va chuan hoa HarmBench thanh CSV (320 dong),,2026-09-21,2026-09-21,3,,yes,data/benchmarks/harmbench/test.csv hop le,done
T1.2,P1,Tai AdvBench (520) + DAN in-the-wild (1405) thanh CSV,,2026-09-21,2026-09-21,4,T1.1,no,advbench/ va dan/ hop le; label=1,done
T1.3,P1,Tai InjecAgent (510) thanh CSV (task-integrity),,2026-09-21,2026-09-21,3,T1.1,yes,injecagent/ hop le; dung truong Tool Response da bi chen chi thi,done
T1.4,P1,Benign held-out (299 mau) roi rac voi tap tan cong,,2026-09-21,2026-09-21,4,T1.1,yes,benign/test.csv label=0; 0 trung lap voi attack set,done
T1.6,P1,Script chuyen doi + verify schema (build_benchmarks.py),,2026-09-21,2026-09-21,3,T1.1;T1.2;T1.3;T1.4,yes,Script chay lai duoc; in n_payloads va n_pos,done
T1.7,P1,Ghi lai giay phep/nguon/SHA-256/ngay tai tung dataset,,2026-09-21,2026-09-21,1,T1.6,no,data/benchmarks/PROVENANCE.json day du,done
T1.8,P1,Kiem tra + cuong che tinh roi rac (disjointness),,2026-09-21,2026-09-21,1,T1.4,yes,Benign da duoc loc tu dong; bao cao overlap = 0,done
T1.5,P1,Tai JudgeDeceiver (ShiJiawenwen/JudgeDeceiver) -> second_order/test.csv,,2026-09-23,2026-09-25,4,T1.6,no,second_order/test.csv phuc vu do epsilon; da lam ro van de LICENSE,todo
T1.9,P1,Bo sung XSTest cho chi so over-refusal (ORR),,2026-09-24,2026-09-26,3,T1.4,T3.2,benign duoc bo sung bang tap over-refusal chuan,todo
T2.1,P2,Dung venv Python 3.11/3.12 + pip install -e .[dev] + pytest,,2026-09-22,2026-09-22,2,,yes,Toan bo test pass; ruff check sach,todo
T2.2,P2,Chay synthetic demo de xac nhan co che,,2026-09-22,2026-09-22,1,T2.1,no,outputs/synthetic_demo sinh ra (KHONG phai ket qua bai bao),todo
T2.3,P2,Sua code: retry/backoff + do ty le refusal/unparseable + truc hardening,,2026-09-22,2026-09-24,10,T2.1,T3.2,Chay duoc 3 cau hinh Bang 6; ty le parse loi duoc bao cao,todo
T2.4,P2,Dinh nghia van hanh cho hardened judges (checkpoint that qua Meta-SecAlign-8B),,2026-09-23,2026-09-24,3,T0.4,yes,Quyet dinh duoc ghi ro vao Limitations,todo
T2.6,P2,Dung EC2 + 5 vLLM server + LiteLLM theo ec2_runbook.md,,2026-09-23,2026-09-25,8,T0.8;T0.10,T2.5,Ca 6-7 model id tra loi qua 1 endpoint LiteLLM,todo
T2.7,P2,Chay vllm bench serve + DETERMINISM PROBE (100 call x 2),,2026-09-25,2026-09-25,3,T2.6,T3.2,Ty le khop tuyet doi duoc do va ghi vao manifest,todo
T2.5,P2,Chay smoke 40 payload va pilot 100-200 payload voi judge that,,2026-09-24,2026-09-25,6,T0.7;T1.6;T2.3;T2.6,T3.1,provenance co git_commit; backend != dummy; cost ledger calls > 0,todo
T3.1,P3,Dong bang config chay chinh (configs/aamas2027_final.yaml),,2026-09-25,2026-09-26,2,T2.5,T3.2,Config duoc commit; commit hash duoc ghi vao preregistration,todo
T3.2,P3,Run chinh (cold cache) -> real_evaluation_summary.csv + significance,,2026-09-26,2026-09-28,10,T3.1,T4.3,Bang 5 co so that voi mean +/- std qua >=3 seed,todo
T3.3,P3,Run ablation -> real_ablation.csv (Bang 6),,2026-09-27,2026-09-28,4,T3.2,T4.3,Bon dong cau hinh thanh phan co so that,todo
T3.4,P3,Do r; gamma; mu; rho -> real_theory_analysis.csv,,2026-09-27,2026-09-28,3,T3.2,T4.3,"Bon dai luong huu han; ket luan ro gamma > C_alpha*r co thoa khong",todo
T3.5,P3,Do epsilon isolation ON vs OFF -> real_isolation_epsilon.csv,,2026-09-28,2026-09-29,5,T3.2,T4.3,epsilon duoc bao cao cho ca hai che do,todo
T3.11,P3,RQ4 mo rong: do n_eff (so phieu hieu dung) va so sanh voi Many Minds,,2026-09-28,2026-09-29,5,T3.4,T4.3,Bao cao n_eff = 1/[1+(n-f-1)rho] va doi chieu tai lieu,todo
T3.6,P3,RQ4: committee dong nhat vs da dang backbone (so sanh rho),,2026-09-28,2026-09-29,6,T3.2,T4.3,Bang so sanh rho va ASR-UC giua hai loai uy ban,todo
T3.12,P3,RQ7 MOI: tach 3 cot Byzantine-only / injection-only / both,,2026-09-29,2026-09-30,5,T3.2,T4.3,"Chinh la khoang trong chua ai lap; bat buoc co trong Bang 5",todo
T3.7,P3,RQ5: bien security-vs-cost theo n=1..7 (latency + token that),,2026-09-29,2026-09-30,5,T3.2,T4.3,real_cost_summary.csv va real_cost_ledger.csv tren cold cache,todo
T3.8,P3,Reproduction gate: chay lai doc lap >=1 lan voi cung config,,2026-09-29,2026-09-30,4,T3.2;T3.3,no,Hai CSV summary khop nhau; sau do moi dat is_paper_result=true,todo
T3.9,P3,Cap nhat audits/result_integrity_audit.md voi provenance that,,2026-09-30,2026-10-01,2,T3.8,no,Moi ket qua that duoc ghi lenh + hash + ngay + vao bang nao,todo
T3.10,P3,Chay make_plots.py --real cho hinh ket qua,,2026-09-30,2026-10-01,1,T3.8,T4.5,Hinh ket qua sinh tu CSV da xac minh (khong watermark),todo
T3.13,P3,So sanh voi RoPoLL-style GM panel tai matched compute,,2026-09-29,2026-09-30,4,T3.2,T4.3,Bang so sanh truc tiep duoi kich ban cua RoPoLL va kich ban injection,todo
T4.1,P4,Chuyen sang template AAMAS (aamas.cls; anonymous; ACM-Reference-Format),,2026-09-25,2026-09-26,5,T0.4,T4.2,manuscript/aamas2027/main.tex bien dich duoc; ban elsarticle 47 trang giu nguyen,todo
T4.2,P4,Cat tu ~10400 tu xuong ~5500 tu theo bang keep/cut,,2026-09-26,2026-10-04,14,T4.1,T5.3,Ban nhap <= 8 trang noi dung,todo
T4.3,P4,Dien so lieu that va xoa toan bo chu placeholder (8 cho),,2026-09-30,2026-10-02,4,T3.2;T3.3;T3.4;T3.5,T5.1,Bang 5/6 va Hinh ket qua chua so that; khong con chu placeholder,todo
T4.4,P4,Xoa 10 tham chieu noi bo the idea va cum within the verified literature,,2026-10-02,2026-10-02,1,T4.2,T5.1,grep khong con ket qua nao,todo
T4.5,P4,Them Description cho moi hinh; kiem tra hinh doc duoc khi in den trang,,2026-10-02,2026-10-03,2,T4.3,T5.3,Moi figure co Description; hinh ro khi grayscale,todo
T4.6,P4,Viet lai dinh vi theo positioning_and_related_work.md,,2026-10-01,2026-10-03,6,POS-9,T5.1,Mo bai dat uy ban LLM judge la mot he da tac tu; khong dan bang robust aggregation,todo
T4.7,P4,Chuan hoa BibTeX: mo rong and others; them DOI/trang; xac nhan venue,,2026-10-01,2026-10-03,3,T4.1,no,0 canh bao thieu truong; 0 citation chua xac minh,todo
T4.8,P4,An danh hoa ban nop (khong ten/truong/ORCID/link repo; metadata PDF),,2026-10-03,2026-10-03,1.5,T4.2,T5.2,Khong con thong tin dinh danh trong PDF va metadata,todo
T4.9,P4,Khai bao su dung AI theo chinh sach AAMAS 2027,,2026-10-03,2026-10-03,1,T0.4,T5.1,Muc khai bao AI co cong cu/version/muc dich/pham vi anh huong,todo
T4.10,P4,Sua loi LaTeX: 85 overfull hbox; font scit; phan biet d va d_k,,2026-10-02,2026-10-04,3,T4.2,no,0 overfull nghiem trong; ghi chu ky hieu ro rang,todo
T5.1,P5,Red-team so lieu: doi chieu tung o trong bang/hinh voi CSV goc,,2026-10-04,2026-10-04,3,T4.3;T4.4,T5.6,number_audit.md ghi ket qua doi chieu; moi o khop,todo
T5.2,P5,Checklist an danh (bai + supplementary),,2026-10-05,2026-10-05,1,T4.8,T5.6,0 thong tin dinh danh o ca hai noi,todo
T5.3,P5,Checklist format: khong sua class; khong doi le; <= 8 trang,,2026-10-05,2026-10-05,1,T4.2,T5.6,PDF dung 8 trang noi dung; class nguyen ban,todo
T5.4,P5,Dong goi supplementary zip <= 25MB (chung minh; notation; code; CSV),,2026-10-05,2026-10-06,2,T4.1,T5.6,File zip <=25MB; an danh; khong chua phan thiet yeu,todo
T5.5,P5,Dang ky abstract tren OpenReview (100-300 tu + keywords + area GAAI),,2026-09-30,2026-10-01,2,T0.2;T0.5;T4.3,T5.6,Abstract duoc dang ky va xac nhan tren OpenReview,todo
T5.6,P5,Nop ban dau 05/10 va ban cuoi truoc 08/10 (AoE),,2026-10-05,2026-10-08,4,T5.1;T5.2;T5.3;T5.4;T5.5,,PDF duoc nop; submission id duoc luu vao submission_record.md,todo
T5.7,P5,(Tuy chon) dang arXiv sau khi nop de lay timestamp,,2026-10-08,2026-10-10,2,T5.6,no,Preprint duoc dang; khong vi pham dual submission,todo
T5.8,P5,Kiem tra nghia vu theo Reciprocal Reviewer Policy,,2026-10-01,2026-10-05,1,,no,Da xac nhan nghia vu phan bien cua tac gia,todo
T6.1,P6,Chuan bi rebuttal (20-24/11) + bang so bo sung,,2026-11-15,2026-11-20,8,T5.6,no,Du thao tra loi cho 3 phan bien du kien,todo
T6.2,P6,Theo doi thong bao ket qua 21/12/2026,,2026-12-21,2026-12-21,0.5,T6.1,no,Ket qua duoc ghi lai (Proceedings / Findings / reject),todo
T6.3,P6,Camera-ready 25/01/2027 (bo anonymous; acks; artifact availability),,2027-01-10,2027-01-25,6,T6.2,no,Ban camera-ready duoc nop dung han,todo
T6.4,P6,Neu bi tu choi: kich hoat Phuong an C (tap chi bao mat; ban dai 47 trang),,2026-12-21,2027-01-31,16,T6.2,no,Venue moi duoc chon va han nop thuc te duoc xac minh,todo
C-2,CODE,Retry/backoff cho API + ghi nhan loi,,2026-09-22,2026-09-23,4,T2.1,no,Pilot chay qua dem khong chet; so loi duoc bao cao,todo
C-3,CODE,Do va bao cao ty le refusal/unparseable -> BLOCK,,2026-09-23,2026-09-23,3,T2.1,T3.2,Ty le parse loi theo tung backbone xuat hien trong artefact va trong bai,todo
C-5,CODE,Them truc cau hinh hardening (off|prompt|checkpoint) + dua vao cache key,,2026-09-23,2026-09-24,5,T2.6,T3.3,Chay duoc ca 3 cau hinh ablation Bang 6 tren judge that; cache khong lan,todo
C-4,CODE,Lam ro second-order injection + them bien the (hoac dung JudgeDeceiver that),,2026-09-24,2026-09-26,4,T1.5,T3.5,Bai khong con y ngam da dung JudgeDeceiver that; co >=2 bien the nhat quan,todo
C-6,CODE,Kiem tra provenance + test is_paper_result sau khi sinh artefact that,,2026-09-24,2026-09-24,1,T2.1,no,pytest -q xanh sau khi co outputs/real/,todo
C-7,CODE,Ghi cache_state (cold/warm) vao provenance va CSV cost,,2026-09-24,2026-09-24,2,T2.1,T3.7,Khong the vo tinh cong bo 0 token nhu so do that,todo
C-8,CODE,Do latency song song dung dinh nghia Lat_parallel(n),,2026-09-24,2026-09-24,3,T2.6,T3.7,So do latency khop cong thuc trong muc Complexity,todo
C-1,CODE,"(HA UU TIEN) Song song hoa client - KHONG con can thiet ve wall-clock tren EC2",,2026-09-26,2026-09-27,7,T2.7,no,Chi lam neu can pilot nhanh; giu tuan tu cho run chinh de tai lap,todo
C-10,CODE,Sinh bang LaTeX truc tiep tu CSV (tranh loi copy tay),,2026-09-29,2026-09-30,3,T3.3,T4.3,tab:main va tab:ablation sinh tu dong tu CSV,todo
C-11,CODE,Script check_numbers.py: moi o so trong .tex phai khop CSV,,2026-10-03,2026-10-04,3,T4.3,T5.1,Script bao loi neu bat ky o nao lech,todo
C-14,CODE,Script sinh supplementary zip <=25MB + tu kiem tra an danh,,2026-10-04,2026-10-05,2,T4.1,T5.4,Script tao zip va kiem tra khong lo danh tinh,todo
C-15,CODE,"Doi khoa cache sang (payload_id,backbone) + che do chay model-major (uy ban da dang tren 1 GPU)",,2026-09-25,2026-09-26,5,T2.1,T3.6,"Chay duoc uy ban 5 backbone tren 1 GPU; cache ghep dung thanh uy ban",todo
T0.11,P0,Sua docs/ec2_experiment_guide.md: tach ro muc pilot (1 GPU) va muc paper-level (4-8 GPU),,2026-09-22,2026-09-22,1,,no,Tai lieu khong con gay hieu nham ve cau hinh,todo
T0.12,P0,"Gui yeu cau cau hinh CHOT cho giang vien: g6e.12xlarge + dia 250GB (kem phuong an thay the)",,2026-09-21,2026-09-22,1,,yes,"Da gui email theo ec2_spec_comparison.md §6; xac nhan dia >=250GB va GPU >=4",todo
