paper_section,page_or_algorithm_or_equation,paper_object,implementation_file,class_or_function_name,test_file,implementation_status,notes
Section 10,Section 10,Baseline: single hardened model,src/aegis_agency/baselines/single_model.py,SingleModelPipeline,tests/test_metrics.py,implemented,Structural; real SecAlign is a stub
Section 10,Section 10,Baseline: plain majority vote,src/aegis_agency/baselines/majority_vote.py,MajorityVotePipeline,tests/test_core_algorithms.py,implemented,
Section 2 / Section 10,Section 10,Baseline: AutoDefense single Coordinator,src/aegis_agency/baselines/autodefense.py,AutoDefensePipeline,,implemented,Non-robust mean; real system is AutoDefenseAdapter stub
Section 2,Section 2,External: real AutoDefense,src/aegis_agency/baselines/external_wrappers.py,AutoDefenseAdapter,,adapter_stub_waiting_for_external_dependency,Requires external repo + LLMs
Section 6.2,Section 6.2,External: SecAlign / StruQ judges,src/aegis_agency/baselines/external_wrappers.py,SecAlignAdapter / StruQAdapter,,adapter_stub_waiting_for_external_dependency,Requires checkpoints
Section 5.3,Section 5.3,External: JudgeDeceiver injector,src/aegis_agency/baselines/external_wrappers.py,JudgeDeceiverAdapter,,adapter_stub_waiting_for_external_dependency,Requires external optimiser
Section 10,Section 10,Real benchmarks (HarmBench/AdvBench/InjecAgent/...),src/aegis_agency/data/adapters.py,CsvBenchmarkAdapter / BenchmarkAdapter,,not_implemented_requires_manual_data,Manual download/license on EC2; CSV schema documented
Section 10,Section 10 RQ1,Colluding-fraction sweep,src/aegis_agency/experiments/run_evaluation.py,run_evaluation,tests/test_cli.py,implemented_with_synthetic_demo,Synthetic sweep; placeholder for real runs
Section 10,Section 10 ablations,Component ablations,src/aegis_agency/experiments/run_ablation.py,run_ablation,,implemented_with_synthetic_demo,Aggregation/isolation/hardening/diversity/size
Section 10,Table 5-6 / Fig 6,Result tables & plots,src/aegis_agency/experiments/plot_results.py,plot_evaluation_sweep,tests/test_cli.py,implemented_with_synthetic_demo,Generated from CSV; synthetic banner; paper tables remain placeholders
Section 10,Section 10 reproducibility,Provenance / seeding,src/aegis_agency/utils/provenance.py,RunProvenance,tests/test_reproducibility.py,implemented,is_paper_result always False for synthetic
Section 8,Lemma 2,Krum theoretical constant,src/aegis_agency/methods/aggregators.py,krum,,intentionally_out_of_scope,Paper restates Blanchard et al.; constant not re-derived here
Section 6.4,Section 6.4,Task-integrity generalisation,src/aegis_agency/data/schemas.py,Payload.true_label,tests/test_schemas.py,implemented,Label semantics cover jailbreak and task-integrity; real labels from benchmarks
