citation_key,paper_title,authors,year,venue,DOI_or_arXiv_or_URL,verification_source,verification_level,manuscript_section,exact_claim_supported,source_location,notes
liu2024universal,Automatic and Universal Prompt Injection Attacks against Large Language Models,"Liu, Yu, Zhang, Zhang, Xiao",2024,arXiv,arXiv:2403.04957,arxiv.org/abs/2403.04957,full-text verified,"Threat Model; Experiments (adaptive attacks)","Gradient-based method crafts universal/transferable prompt-injection strings forcing target outputs",Abstract,Adaptive second-order injection attack basis
shi2024judgeinjection,Optimization-based Prompt Injection Attack to LLM-as-a-Judge,"Shi, Yuan, Liu, Huang, Zhou, Sun, Gong",2024,ACM CCS 2024,arXiv:2403.17710,arxiv.org/abs/2403.17710,full-text verified,"Intro; Threat Model; Experiments","JudgeDeceiver: optimization-based injection forces an LLM judge to select an attacker-chosen response",Abstract,Direct evidence judges are injectable -> motivates payload isolation
zheng2023judging,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,"Zheng, Chiang, Sheng, Zhuang, Wu, Zhuang, Lin, Li, Li, Xing, Zhang, Gonzalez, Stoica",2023,NeurIPS 2023 D&B,arXiv:2306.05685,arxiv.org/abs/2306.05685,full-text verified,"Related Work; System Model","LLM-as-a-judge agrees well with humans but exhibits position/verbosity/self-enhancement biases",Sec. 3 (limitations),Judge reliability + biases (correlated error motivation)
wang2023notfair,Large Language Models are not Fair Evaluators,"Wang, Li, Chen, Cai, Zhu, Lin, Cao, Liu, Liu, Sui",2024,ACL 2024,arXiv:2305.17926,arxiv.org/abs/2305.17926,full-text verified,"Related Work; Discussion","LLM judges show positional bias; calibration/ensembling mitigates it",Abstract,Judge bias -> diversity/aggregation motivation
lee2024promptinfection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems,"Lee, Tiwari",2024,arXiv,arXiv:2410.07283,arxiv.org/abs/2410.07283,full-text verified,"Intro; Related Work; Threat Model","Self-replicating prompt injections propagate agent-to-agent across an LLM multi-agent system",Abstract,MAS insider-propagation threat context
tian2023evilgeniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,"Tian, Yang, Zhang, Dong, Su",2023,arXiv,arXiv:2311.11855,arxiv.org/abs/2311.11855,abstract-only verified,"Related Work","LLM-based (multi-)agent systems can be manipulated into harmful role-specialized behavior; multi-agent setups expand the attack surface",Abstract,MAS attack-surface context
ju2024flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,"Ju, Wang, Ma, Cheng, Zhao, Wang, Liu, Xie, Zhang, Liu",2024,arXiv,arXiv:2407.07791,arxiv.org/abs/2407.07791,abstract-only verified,"Related Work; Discussion","Manipulated knowledge spreads stealthily through LLM multi-agent communities, resisting benign countermeasures",Abstract,Correlated/propagating failure context
zhou2025corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on LLMs,"Zhou, Li, Zhang, Zhang, Wang, Liu, Guo",2025,arXiv,arXiv:2502.14529,arxiv.org/abs/2502.14529,abstract-only verified,"Related Work (availability attacks)","Contagious recursively-spreading blocking attack disrupts LLM multi-agent systems (availability)",Abstract,Availability/over-refusal analog in MAS
he2025redteaming,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,"He, Lin, Dong, Xu, Xing, Liu",2025,Findings of ACL 2025,arXiv:2502.14847,aclanthology.org/2025.findings-acl.349,full-text verified,"Related Work; Threat Model","Agent-in-the-Middle attacks manipulate inter-agent communication to compromise MAS",Abstract,Inter-agent channel threat context
zhang2024psysafe,PsySafe: Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,"Zhang, Zhang, Li, Gao, Wang, Lu, Zhao, Qiao, Shao",2024,ACL 2024,arXiv:2401.11880,aclanthology.org/2024.acl-long.812,full-text verified,"Related Work","Dark-trait agents can subvert collective multi-agent behavior; framework attacks/defends/evaluates MAS safety",Abstract,Colluding/insider MAS context
zhang2024asb,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,"Zhang, Huang, Mei, Yao, Wang, Zhan, Wang, Zhang",2025,ICLR 2025,arXiv:2410.02644,arxiv.org/abs/2410.02644,abstract-only verified,"Related Work; Experiments","Benchmark formalizing attacks (injection, backdoors) and defenses across LLM-agent operation stages",Abstract,Agent-security benchmark context
zou2023universal,Universal and Transferable Adversarial Attacks on Aligned Language Models,"Zou, Wang, Carlini, Nasr, Kolter, Fredrikson",2023,arXiv,arXiv:2307.15043,arxiv.org/abs/2307.15043,full-text verified,"Experiments (attacks/AdvBench)","GCG produces universal transferable adversarial suffixes that jailbreak aligned LLMs; introduces AdvBench",Abstract/Sec. 3,Jailbreak attack + dataset for evaluation
mazeika2024harmbench,HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,"Mazeika, Phan, Yin, Zou, Wang, Mu, Sakhaee, Li, Basart, Li, Forsyth, Hendrycks",2024,ICML 2024,arXiv:2402.04249,arxiv.org/abs/2402.04249,full-text verified,"Experiments (benchmarks/metrics)","Standardized benchmark/framework for automated red-teaming and refusal robustness",Abstract,Evaluation harness for jailbreak defense
chao2023pair,Jailbreaking Black Box Large Language Models in Twenty Queries,"Chao, Robey, Dobriban, Hassani, Pappas, Wong",2023,arXiv,arXiv:2310.08419,arxiv.org/abs/2310.08419,full-text verified,"Experiments (attacks)","PAIR: attacker LLM iteratively refines prompts to jailbreak a black-box target in ~20 queries",Abstract,Adaptive black-box attack for evaluation
mehrotra2023tap,Tree of Attacks: Jailbreaking Black-Box LLMs Automatically,"Mehrotra, Zampetakis, Kassianik, Nelson, Anderson, Singer, Karbasi",2024,NeurIPS 2024,arXiv:2312.02119,arxiv.org/abs/2312.02119,full-text verified,"Experiments (attacks)","TAP: tree-of-thought search with pruning automatically jailbreaks black-box LLMs",Abstract,Adaptive attack for evaluation
shen2023dan,'Do Anything Now': Characterizing and Evaluating In-The-Wild Jailbreak Prompts,"Shen, Chen, Backes, Shen, Zhang",2024,ACM CCS 2024,arXiv:2308.03825,arxiv.org/abs/2308.03825,full-text verified,"Experiments (attacks)","Collects and characterizes real in-the-wild jailbreak prompts (incl. DAN) and measures effectiveness",Abstract,In-the-wild jailbreak set for evaluation
yu2023gptfuzzer,GPTFUZZER: Red Teaming LLMs with Auto-Generated Jailbreak Prompts,"Yu, Lin, Yu, Xing",2023,arXiv,arXiv:2309.10253,arxiv.org/abs/2309.10253,full-text verified,"Experiments (attacks)","Fuzzing framework mutates seed jailbreak templates to auto-generate new jailbreaks",Abstract,Attack generator for evaluation
yi2024jailbreaksurvey,Jailbreak Attacks and Defenses Against Large Language Models: A Survey,"Yi, Liu, Sun, Cong, He, Song, Xu, Li",2024,arXiv,arXiv:2407.04295,arxiv.org/abs/2407.04295,abstract-only verified,"Related Work","Survey taxonomizing LLM jailbreak attacks and defenses",Abstract,Survey citation for landscape
robey2023smoothllm,SmoothLLM: Defending Large Language Models Against Jailbreaking Attacks,"Robey, Wong, Hassani, Pappas",2023,arXiv,arXiv:2310.03684,arxiv.org/abs/2310.03684,full-text verified,"Related Work; Discussion","Randomized smoothing over perturbed prompt copies plus aggregation neutralizes suffix jailbreaks",Abstract,Aggregation-over-copies contrast (single model)
jain2023baseline,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,"Jain, Schwarzschild, Wen, Somepalli, Kirchenbauer, Chiang, Goldblum, Saha, Geiping, Goldstein",2023,arXiv,arXiv:2309.00614,arxiv.org/abs/2309.00614,full-text verified,"Related Work","Evaluates perplexity filtering paraphrasing retokenization adversarial training against attacks on aligned LLMs",Abstract,Single-model defense baselines context
kumar2023certifying,Certifying LLM Safety against Adversarial Prompting,"Kumar, Agarwal, Srinivas, Li, Feizi, Lakkaraju",2024,COLM 2024,arXiv:2309.02705,arxiv.org/abs/2309.02705,full-text verified,"Related Work; Discussion","Erase-and-check gives certifiable safety guarantees against adversarial prompts by testing erased subsequences",Abstract,Contrast: certified single-model vs our system-level robustness
wu2023autogen,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,"Wu, Bansal, Zhang, Wu, Li, Zhu, Jiang, Zhang, Zhang, Liu, Awadallah, White, Burger, Wang",2023,arXiv,arXiv:2308.08155,arxiv.org/abs/2308.08155,full-text verified,"Intro; System Model","Framework for LLM apps as conversations among multiple customizable tool-using agents",Abstract,MAS framework the defense agency is built on
hong2023metagpt,MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework,"Hong, Zhuge, Chen, Zheng, Cheng, Zhang, Wang, Wang, Yau, Lin, Zhou, Ran, Xiao, Wu, Schmidhuber",2024,ICLR 2024,arXiv:2308.00352,arxiv.org/abs/2308.00352,abstract-only verified,"Related Work","Encodes SOPs/roles into a multi-agent LLM framework for complex tasks",Abstract,MAS framework context
li2023camel,CAMEL: Communicative Agents for Mind Exploration of LLM Society,"Li, Hammoud, Itani, Khizbullin, Ghanem",2023,NeurIPS 2023,arXiv:2303.17760,arxiv.org/abs/2303.17760,abstract-only verified,"Related Work","Role-playing communicative-agent framework for autonomous cooperation between LLM agents",Abstract,MAS framework context
qian2023chatdev,ChatDev: Communicative Agents for Software Development,"Qian, Liu, Liu, Chen, Dang, Li, Yang, Chen, Su, Cong, Xu, Li, Liu, Sun",2024,ACL 2024,arXiv:2307.07924,arxiv.org/abs/2307.07924,abstract-only verified,"Related Work","Multi-agent virtual software company of role-playing LLM agents",Abstract,MAS framework context
du2023debate,Improving Factuality and Reasoning in Language Models through Multiagent Debate,"Du, Li, Torralba, Tenenbaum, Mordatch",2024,ICML 2024,arXiv:2305.14325,arxiv.org/abs/2305.14325,full-text verified,"Related Work; Discussion","Multiple LLM instances debating over rounds improves factuality/reasoning",Abstract,Multi-agent aggregation contrast (no Byzantine model)
xi2023agentsurvey,The Rise and Potential of Large Language Model Based Agents: A Survey,"Xi, Chen, Guo, He, Ding, Hong, Zhang, Wang, Jin, Zhou, et al.",2023,arXiv,arXiv:2309.07864,arxiv.org/abs/2309.07864,abstract-only verified,"Intro; Related Work","Broad survey of LLM-based agents: architecture, single/multi-agent societies, open problems",Abstract,General agent survey
rebedea2023nemo,NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications,"Rebedea, Dinu, Sreedhar, Parisien, Cohen",2023,EMNLP 2023 (Demo),arXiv:2310.10501,arxiv.org/abs/2310.10501,full-text verified,"Related Work","Programmable rails add a runtime dialogue/safety layer around LLM apps",Abstract,Guardrail system context
chennabasappa2025llamafirewall,LlamaFirewall: An Open Source Guardrail System for Building Secure AI Agents,"Chennabasappa, Nikolaidis, Song, Molnar, Ding, Wan, Whitman, Deason, Doucette, Montilla, et al.",2025,arXiv,arXiv:2505.03574,arxiv.org/abs/2505.03574,abstract-only verified,"Related Work","Layered guardrail framework (injection detection, alignment checks, code scanning) for agent pipelines",Abstract,Layered-guardrail contrast (no Byzantine aggregation)
zeng2024shieldgemma,ShieldGemma: Generative AI Content Moderation Based on Gemma,"Zeng, Liu, Mullins, Peran, Fernandez, Harkous, Narasimhan, Proud, Kumar, Radharapu, Sturman, Wahltinez",2024,arXiv,arXiv:2407.21772,arxiv.org/abs/2407.21772,abstract-only verified,"Related Work; System Model","Gemma-based content-moderation classifiers predicting policy violations for prompts/responses",Abstract,Moderation-classifier judge context
markov2023holistic,A Holistic Approach to Undesired Content Detection in the Real World,"Markov, Zhang, Agarwal, Eloundou, Lee, Adler, Jiang, Weng",2023,AAAI 2023,arXiv:2208.03274,arxiv.org/abs/2208.03274,abstract-only verified,"Related Work","Production content-moderation system: taxonomy, data pipeline, active learning",Abstract,Moderation-system context
yin2018byzantine,Byzantine-Robust Distributed Learning: Towards Optimal Statistical Rates,"Yin, Chen, Ramchandran, Bartlett",2018,ICML 2018,arXiv:1803.01498,proceedings.mlr.press/v80/yin18a,full-text verified,"Preliminaries; Theory; Method","Coordinate-wise median and trimmed mean achieve order-optimal error under Byzantine workers; median tolerates f<n/2",Thm. 4/Sec. 3,Coordinate-median rule + f<n/2 tolerance used in our verdict aggregation
chen2017byzantine,Distributed Statistical Machine Learning in Adversarial Settings: Byzantine Gradient Descent,"Chen, Su, Xu",2017,POMACS/SIGMETRICS,10.1145/3154503,api.crossref.org/works/10.1145/3154503,abstract-only verified,"Preliminaries; Theory","Geometric-median-of-means aggregation gives convergence under a bounded fraction of Byzantine machines",Abstract/Thm.,Geometric-median rule foundation
mhamdi2018bulyan,The Hidden Vulnerability of Distributed Learning in Byzantium,"El Mhamdi, Guerraoui, Rouault",2018,ICML 2018,arXiv:1802.07927,proceedings.mlr.press/v80/mhamdi18a,full-text verified,"Theory; Discussion; Limitations","Single-aggregator defenses (incl. Krum) can fail in high dimensions; Bulyan combines selection with trimmed mean",Sec. 3,High-dimension caveat for verdict-embedding aggregation
pillutla2022rfa,Robust Aggregation for Federated Learning,"Pillutla, Kakade, Harchaoui",2022,IEEE TSP,10.1109/TSP.2022.3153135,api.crossref.org/works/10.1109/TSP.2022.3153135,abstract-only verified,"Method; Theory","RFA computes an approximate geometric median of updates via smoothed Weiszfeld iteration",Abstract,Weiszfeld-based geometric-median aggregation procedure
bernstein2019signsgd,signSGD with Majority Vote is Communication Efficient and Fault Tolerant,"Bernstein, Zhao, Azizzadenesheli, Anandkumar",2019,ICLR 2019,arXiv:1810.05291,openreview.net/forum?id=BJxhijAcY7,full-text verified,"Related Work; Method (majority vote baseline)","Coordinate-wise majority vote over sign gradients is communication-efficient and tolerant to a fraction of adversarial workers",Abstract/Thm.,Majority-vote baseline theoretical grounding
minsker2015geometric,Geometric Median and Robust Estimation in Banach Spaces,"Minsker",2015,Bernoulli,10.3150/14-BEJ645,api.crossref.org/works/10.3150/14-BEJ645,abstract-only verified,"Theory; Appendix","Geometric median of independent estimates yields sub-Gaussian concentration and outlier robustness in Hilbert/Banach spaces",Thm. 3.1,Concentration lemma used for embedding-space aggregation
lopuhaa1991breakdown,Breakdown Points of Affine Equivariant Estimators of Multivariate Location and Covariance,"Lopuhaa, Rousseeuw",1991,Annals of Statistics,10.1214/aos/1176347978,api.crossref.org/works/10.1214/aos/1176347978,abstract-only verified,"Theory; Discussion","Finite-sample breakdown point quantifies the fraction of contamination a location estimator tolerates",Abstract/Thm.,Breakdown-point notion used to interpret tolerance
lamport1982byzantine,The Byzantine Generals Problem,"Lamport, Shostak, Pease",1982,ACM TOPLAS,10.1145/357172.357176,api.crossref.org/works/10.1145/357172.357176,abstract-only verified,"Intro; Preliminaries; Threat Model","Reliable agreement under arbitrary (Byzantine) faults requires n>3f with oral messages",Sec. 3/4,Classical Byzantine bound framing the committee model
castro1999pbft,Practical Byzantine Fault Tolerance,"Castro, Liskov",1999,OSDI 1999,dblp:conf/osdi/CastroL99,dblp.org/rec/conf/osdi/CastroL99,metadata-only not used for substantive claims,"Related Work","PBFT tolerates f Byzantine replicas with 3f+1 replicas in asynchronous state-machine replication",Abstract,Distributed-systems BFT context only; not a claim source for our theorems
diakonikolas2016robust,Robust Estimators in High Dimensions without the Computational Intractability,"Diakonikolas, Kamath, Kane, Li, Moitra, Stewart",2016,FOCS 2016,arXiv:1604.06443,arxiv.org/abs/1604.06443,abstract-only verified,"Theory; Discussion","Efficient dimension-independent-error algorithms exist for robust mean/covariance estimation under adversarial corruption",Abstract,High-dim robustness context for embedding aggregation
lai2016agnostic,Agnostic Estimation of Mean and Covariance,"Lai, Rao, Vempala",2016,FOCS 2016,10.1109/FOCS.2016.76,api.crossref.org/works/10.1109/FOCS.2016.76,metadata-only not used for substantive claims,"Discussion","Efficient robust mean/covariance estimation under a constant fraction of adversarial corruption",Abstract,High-dim robust estimation context
diakonikolas2019recent,Recent Advances in Algorithmic High-Dimensional Robust Statistics,"Diakonikolas, Kane",2019,arXiv,arXiv:1911.05911,arxiv.org/abs/1911.05911,abstract-only verified,"Discussion","Survey of efficient estimators robust to adversarial contamination in high dimensions",Abstract,Pointer to high-dim robustness literature
mcmahan2017fedavg,Communication-Efficient Learning of Deep Networks from Decentralized Data,"McMahan, Moore, Ramage, Hampson, Aguera y Arcas",2017,AISTATS 2017,arXiv:1602.05629,proceedings.mlr.press/v54/mcmahan17a,abstract-only verified,"Related Work","FedAvg trains a shared model by averaging local updates over decentralized clients",Abstract,Federated-learning origin of the trusted-master aggregation setting we contrast
bagdasaryan2020backdoor,How To Backdoor Federated Learning,"Bagdasaryan, Veit, Hua, Estrin, Shmatikov",2020,AISTATS 2020,arXiv:1807.00459,proceedings.mlr.press/v108/bagdasaryan20a,abstract-only verified,"Related Work","Model-replacement backdoor injects a persistent backdoor into the federated model evading anomaly detection",Abstract,Insider-compromise analog in FL
fang2020poisoning,Local Model Poisoning Attacks to Byzantine-Robust Federated Learning,"Fang, Cao, Jia, Gong",2020,USENIX Security 2020,arXiv:1911.11815,usenix.org/conference/usenixsecurity20/presentation/fang,full-text verified,"Threat Model; Discussion; Limitations","Optimized local model-poisoning defeats Byzantine-robust rules incl. Krum, median, trimmed mean",Sec. 5,Adaptive attacks can break robust aggregation -> we must test adaptivity
baruch2019little,A Little Is Enough: Circumventing Defenses For Distributed Learning,"Baruch, Baruch, Goldberg",2019,NeurIPS 2019,arXiv:1902.06156,papers.neurips.cc 2019,full-text verified,"Threat Model; Discussion","Small perturbations within honest variance evade Byzantine-robust defenses",Abstract/Sec. 3,Colluding-within-variance attack basis
xie2019fall,Fall of Empires: Breaking Byzantine-tolerant SGD by Inner Product Manipulation,"Xie, Koyejo, Gupta",2019,UAI 2019,arXiv:1903.03936,proceedings.mlr.press/v115/xie20a,abstract-only verified,"Threat Model; Discussion","Inner-product-manipulation attacks break Krum and coordinate-median",Abstract,Adaptive-attack-on-aggregation basis
kuncheva2003diversity,Measures of Diversity in Classifier Ensembles and Their Relationship with the Ensemble Accuracy,"Kuncheva, Whitaker",2003,Machine Learning,10.1023/A:1022859003006,link.springer.com/article/10.1023/A:1022859003006,abstract-only verified,"Theory (correlated failure); Discussion","Ensemble diversity relates weakly to majority-vote accuracy; diversity alone does not guarantee gains",Abstract,Correlated-failure / diversity analysis grounding
ouyang2022instructgpt,Training Language Models to Follow Instructions with Human Feedback,"Ouyang, Wu, Jiang, Almeida, Wainwright, Mishkin, et al.",2022,NeurIPS 2022,arXiv:2203.02155,arxiv.org/abs/2203.02155,abstract-only verified,"Preliminaries","RLHF fine-tuning aligns LLM outputs with user intent",Abstract,Alignment background for judge fine-tuning
bai2022constitutional,Constitutional AI: Harmlessness from AI Feedback,"Bai, Kadavath, Kundu, Askell, Kernion, et al.",2022,arXiv,arXiv:2212.08073,arxiv.org/abs/2212.08073,abstract-only verified,"Preliminaries; Related Work","Trains a harmless assistant via AI feedback guided by a written constitution (RLAIF)",Abstract,Alignment/harmlessness background
rafailov2023dpo,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,"Rafailov, Sharma, Mitchell, Ermon, Manning, Finn",2023,NeurIPS 2023,arXiv:2305.18290,arxiv.org/abs/2305.18290,abstract-only verified,"Method (hardened judges)","Closed-form preference-alignment objective fine-tunes LLMs directly on preference data without RL",Abstract,Preference-optimization mechanism underlying SecAlign-style hardening
touvron2023llama2,Llama 2: Open Foundation and Fine-Tuned Chat Models,"Touvron, Martin, Stone, Albert, Almahairi, et al.",2023,arXiv,arXiv:2307.09288,arxiv.org/abs/2307.09288,abstract-only verified,"Experiments (backbones)","Open foundation + RLHF chat models with documented safety alignment",Abstract,Backbone used by judges/baselines
reimers2019sentencebert,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,"Reimers, Gurevych",2019,EMNLP 2019,arXiv:1908.10084,arxiv.org/abs/1908.10084,abstract-only verified,"Method (rationale embedding)","Siamese/triplet BERT yields semantically meaningful sentence embeddings comparable via cosine similarity",Abstract,Embedding space for verdict rationale vectors
gao2021simcse,SimCSE: Simple Contrastive Learning of Sentence Embeddings,"Gao, Yao, Chen",2021,EMNLP 2021,arXiv:2104.08821,arxiv.org/abs/2104.08821,abstract-only verified,"Method (rationale embedding)","Contrastive learning yields strong sentence embeddings (unsupervised/supervised)",Abstract,Alternative embedding for verdict rationale vectors
guo2017calibration,On Calibration of Modern Neural Networks,"Guo, Pleiss, Sun, Weinberger",2017,ICML 2017,arXiv:1706.04599,arxiv.org/abs/1706.04599,abstract-only verified,"Method (calibrated score)","Modern networks are overconfident; temperature scaling calibrates them",Abstract,Calibration for judge confidence scores
